longitude,latitude,noisedB,seconds
27.0896686,93.6255626,86.28923035,1610437678
27.0896267,93.6260504,86.28923035,1610437678
27.0895486,93.6263466,86.28923035,1610437678
27.089584,93.6264737,86.28923035,1610437678
27.0896119,93.626491,86.28923035,1610437678
27.0896119,93.626491,86.28923035,1610437678
27.0896415,93.6265029,86.28923035,1610437678
27.0896415,93.6265029,86.28923035,1610437678
27.089676,93.6265079,86.28923035,1610437678
27.0897069,93.6264975,86.28923035,1610437678
27.0897069,93.6264975,86.28923035,1610437678
27.0897328,93.6264773,86.28923035,1610437678
27.0897328,93.6264773,86.28923035,1610437678
27.0897661,93.626448,86.28923035,1610437678
27.0897661,93.626448,86.28923035,1610437678
27.0898009,93.6264172,86.28923035,1610437678
27.0898009,93.6264172,86.28923035,1610437678
27.0898379,93.626383,86.28923035,1610437678
27.0898641,93.6263577,86.28923035,1610437678
27.0898641,93.6263577,86.28923035,1610437678
27.0898825,93.6263365,86.28923035,1610437678
27.0898948,93.6263158,86.28923035,1610437678
27.0898948,93.6263158,86.28923035,1610437678
27.0898965,93.6263086,86.28923035,1610437678
27.0898965,93.6263086,86.28923035,1610437678
27.0898928,93.6263106,86.28923035,1610437678
27.0898928,93.6263106,86.28923035,1610437678
27.0898912,93.6263106,86.28923035,1610437678
27.0898912,93.6263106,86.28923035,1610437678
27.0898907,93.6263103,86.28923035,1610437678
27.0898907,93.6263103,86.28923035,1610437678
27.0898904,93.6263102,86.28923035,1610437678
27.0898902,93.6263101,86.28923035,1610437678
27.0898902,93.6263101,86.28923035,1610437678
27.0898901,93.6263101,86.28923035,1610437678
27.0898901,93.6263101,86.28923035,1610437678
27.0898901,93.62631,86.28923035,1610437678
27.08989,93.62631,86.28923035,1610437678
27.08989,93.62631,86.28923035,1610437678
27.08989,93.62631,86.28923035,1610437678
27.08989,93.62631,86.28923035,1610437678
27.08989,93.62631,86.28923035,1610437678
27.08989,93.62631,86.28923035,1610437678
27.08989,93.62631,86.28923035,1610437678
27.08989,93.62631,86.28923035,1610437678
27.08989,93.62631,86.28923035,1610437678
27.08989,93.62631,86.28923035,1610437678
27.08989,93.62631,86.28923035,1610437678
27.08989,93.62631,86.28923035,1610437678
27.08989,93.62631,86.28923035,1610437678
27.08989,93.62631,86.28923035,1610437678
27.0899039,93.6262981,86.28923035,1610437678
27.0899322,93.6262717,86.28923035,1610437678
27.0899549,93.6262387,86.28923035,1610437678
27.0899793,93.626198,86.28923035,1610437678
27.090006,93.6261551,86.28923035,1610437678
27.0900327,93.6261131,86.28923035,1610437678
27.090059,93.6260711,86.28923035,1610437678
27.0900786,93.6260414,86.28923035,1610437678
27.0901013,93.6260047,86.28923035,1610437678
27.0901443,93.6259261,86.28923035,1610437678
27.0901658,93.6258845,86.28923035,1610437678
27.0901858,93.6258474,86.28923035,1610437678
27.090204,93.6258011,86.28923035,1610437678
27.0902453,93.6256859,86.28923035,1610437678
27.0902644,93.6256253,86.28923035,1610437678
27.0902899,93.6255678,86.28923035,1610437678
